Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
13,360	24,801	-2,618	-8,181	0,5921	-0,062	-0,195	0,1
13,400	24,679	-2,836	-8,181	0,5892	-0,068	-0,195	0,1
13,440	24,574	-3,272	-8,181	0,5867	-0,078	-0,195	0,1
13,480	24,417	-3,491	2,727	0,5829	-0,083	0,065	0,1
13,520	24,295	-3,054	8,181	0,5800	-0,073	0,195	0,1
13,560	24,173	-2,836	2,727	0,5771	-0,068	0,065	0,2
13,600	24,068	-2,836	-2,727	0,5746	-0,068	-0,065	0,2
13,640	23,946	-3,054	-2,727	0,5717	-0,073	-0,065	0,4
13,680	23,824	-3,054	-2,727	0,5687	-0,073	-0,065	0,7
13,720	23,702	-3,272	-2,727	0,5658	-0,078	-0,065	1,0
13,760	23,562	-3,272	-2,727	0,5625	-0,078	-0,065	1,3
13,800	23,440	-3,491	-13,635	0,5596	-0,083	-0,326	1,5
13,840	23,283	-4,363	-10,908	0,5558	-0,104	-0,260	1,5
13,880	23,091	-4,363	5,551E-13	0,5512	-0,104	-1,735E-14	1,3
13,920	22,934	-4,363	-8,181	0,5475	-0,104	-0,195	0,9
13,960	22,742	-5,018	-10,908	0,5429	-0,120	-0,260	0,5
14,000	22,532	-5,236	-5,454	0,5379	-0,125	-0,130	0,2
14,040	22,323	-5,454	-10,908	0,5329	-0,130	-0,260	0,2
14,080	22,096	-6,109	-16,362	0,5275	-0,146	-0,391	0,2
14,120	21,834	-6,763	-13,635	0,5213	-0,161	-0,326	0,1
14,160	21,555	-7,199	-5,454	0,5146	-0,172	-0,130	0,1
14,200	21,258	-7,199	0,000	0,5075	-0,172	8,327E-15	0,1
14,240	20,979	-7,199	-2,727	0,5008	-0,172	-0,065	0,1
14,280	20,682	-7,418	13,635	0,4937	-0,177	0,326	0,1
14,320	20,385	-6,109	27,271	0,4867	-0,146	0,651	0,1
14,360	20,193	-5,236	2,727	0,4821	-0,125	0,065	0,1
14,400	19,967	-5,890	-5,454	0,4767	-0,141	-0,130	0,1
14,440	19,722	-5,672	13,635	0,4708	-0,135	0,326	0,1
14,480	19,513	-4,800	19,090	0,4658	-0,115	0,456	0,1
14,520	19,338	-4,145	8,181	0,4617	-0,099	0,195	0,1
14,560	19,181	-4,145	-13,635	0,4579	-0,099	-0,326	0,1
14,600	19,007	-5,236	-38,179	0,4538	-0,125	-0,911	0,1
14,640	18,762	-7,199	-43,633	0,4479	-0,172	-1,042	0,1
14,680	18,431	-8,727	-19,090	0,4400	-0,208	-0,456	0,1
14,720	18,064	-8,727	2,727	0,4312	-0,208	0,065	0,1
14,760	17,733	-8,508	0,000	0,4233	-0,203	0,000	0,1
14,800	17,383	-8,727	-5,454	0,4150	-0,208	-0,130	0,2
14,840	17,034	-8,945	-13,635	0,4067	-0,214	-0,326	0,2
14,880	16,668	-9,817	-24,544	0,3979	-0,234	-0,586	0,2
14,920	16,249	-10,908	-13,635	0,3879	-0,260	-0,326	0,2
14,960	15,795	-10,908	21,817	0,3771	-0,260	0,521	0,1
15,000	15,376	-9,163	27,271	0,3671	-0,219	0,651	0,2
15,040	15,062	-8,727	-8,181	0,3596	-0,208	-0,195	0,1
15,080	14,678	-9,817	-16,362	0,3504	-0,234	-0,391	0,1
15,120	14,277	-10,036	-2,727	0,3408	-0,240	-0,065	0,1
15,160	13,875	-10,036	5,454	0,3312	-0,240	0,130	0,1
15,200	13,474	-9,599	13,635	0,3217	-0,229	0,326	0,2
